Mix, Pure, Crude (M or P or C);Freq. (MHz);Eta (cP);T2LM (ms);T (K);TE (ms);;;;;;;;;;;;;;
C;2;126538,141;0,709086;301,15;0,24;;;;;;;;;;;;;;
C;2;8,62;175,98;303,15;0,1;;;;;;;;;;;;;;
C;2;6956,10;1,16;303,15;0,1;;;;;;;;;;;;;;
C;2;751,79;5,657670786;303,15;0,3;;;;;;;;;;;;;;
C;2;69,99505936;13,250641;400,15;0,24;;;;;;;;;;;;;;
C;2;172,8470481;6,584669;379,15;0,24;;;;;;;;;;;;;;
C;2;35,44620159;23,959204;420,15;0,24;;;;;;;;;;;;;;
C;2;5802,7;1,488701483;323,15;0,3;;;;;;;;;;;;;;
C;2;821,8706884;2,948682;352,15;0,24;;;;;;;;;;;;;;
C;2;29,10;30,80;303,15;0,1;;;;;;;;;;;;;;
C;2;23,88132353;35,432346;434,15;0,24;;;;;;;;;;;;;;
C;2;24345,6;1,25029623;323,15;0,3;;;;;;;;;;;;;;
C;2;17569,62;1,08;303,15;0,1;;;;;;;;;;;;;;
C;2;24345,6;1,25029623;323,15;0,3;;;;;;;;;;;;;;
C;2;8,34;419,99;303,15;0,1;;;;;;;;;;;;;;
C;2;26,40;64,80;303,15;0,1;;;;;;;;;;;;;;
C;2;916,86;2,77;303,15;0,1;;;;;;;;;;;;;;
C;2;33,30;62,30;303,15;0,1;;;;;;;;;;;;;;
C;2;415500,00;0,50;303,15;0,1;;;;;;;;;;;;;;
C;2;5990,4;1,388230126;303,15;0,3;;;;;;;;;;;;;;
C;2;28,88004184;29,714802;427,15;0,24;;;;;;;;;;;;;;
C;2;12,39892741;74,10176;463,15;0,24;;;;;;;;;;;;;;
C;2;15,54534756;56,854687;452,15;0,24;;;;;;;;;;;;;;
C;2;11,93035138;78,472375;465,15;0,24;;;;;;;;;;;;;;
C;2;2455,68;2,52935497;323,15;0,3;;;;;;;;;;;;;;
C;2;21580,8;1,405971014;303,15;0,3;;;;;;;;;;;;;;
C;2;1258,020513;2,486778;346,15;0,24;;;;;;;;;;;;;;
C;2;149,7724524;7,433043;382,15;0,24;;;;;;;;;;;;;;
C;2;17,32;131,10;303,15;0,1;;;;;;;;;;;;;;
C;2;342,9527562;4,37594;366,15;0,24;;;;;;;;;;;;;;
C;2;289,9157648;4,871118;369,15;0,24;;;;;;;;;;;;;;
C;2;2,44;641,24;303,15;0,1;;;;;;;;;;;;;;
C;2;38,42;37,04;303,15;0,1;;;;;;;;;;;;;;
C;2;23,35;27,27;303,15;0,1;;;;;;;;;;;;;;
C;2;1994,553498;2,078567;340,15;0,24;;;;;;;;;;;;;;
C;2;332,60;7,20;303,15;0,1;;;;;;;;;;;;;;
C;2;5655,065803;1,513536;328,15;0,24;;;;;;;;;;;;;;
C;2;17354,20454;1,112104;317,15;0,24;;;;;;;;;;;;;;
C;2;13966,80852;1,199388;319,15;0,24;;;;;;;;;;;;;;
C;2;5237,44;1,69;303,15;0,1;;;;;;;;;;;;;;
C;2;3016,027297;1,812677;335,15;0,24;;;;;;;;;;;;;;
